PL,method_function,Approach,COG,CYC
C/C++,ssh_send_banner,FLAG,19,8
C/C++,ssh_connect,ORIG,34,26
C/C++,ssh_connect,DEV,34,25
C/C++,ssh_connect,FLAG,34,25
C/C++,ssh_userauth_pubkey,ORIG,7,6
C/C++,ssh_userauth_pubkey,DEV,7,6
C/C++,ssh_userauth_pubkey,FLAG,1,2
C/C++,ssh_connect_socket_close,ORIG,2,2
C/C++,ssh_connect_socket_close,DEV,2,2
C/C++,ssh_connect_socket_close,FLAG,0,1
C/C++,getai,ORIG,5,4
C/C++,getai,DEV,5,4
C/C++,getai,FLAG,3,3
C/C++,ssh_connector_fd_is_socket,ORIG,8,5
C/C++,ssh_connector_fd_is_socket,DEV,8,5
C/C++,ssh_connector_fd_is_socket,FLAG,2,3
C/C++,ssh_connector_fd_write,ORIG,3,3
C/C++,ssh_connector_fd_write,DEV,3,3
C/C++,ssh_connector_fd_write,FLAG,2,2
C/C++,ssh_curve25519_init,ORIG,21,11
C/C++,ssh_curve25519_init,DEV,21,11
C/C++,ssh_curve25519_init,FLAG,7,7
C/C++,ssh_curve25519_build_k,ORIG,25,14
C/C++,ssh_curve25519_build_k,DEV,25,14
C/C++,ssh_curve25519_build_k,FLAG,11,10
C/C++,ssh_dh_debug_crypto,ORIG,7,4
C/C++,ssh_dh_debug_crypto,DEV,7,4
C/C++,ssh_dh_debug_crypto,FLAG,0,1
C/C++,ssh_dh_keypair_set_keys,ORIG,35,19
C/C++,ssh_dh_keypair_set_keys,DEV,35,19
C/C++,ssh_dh_keypair_set_keys,FLAG,15,14
C/C++,ssh_dh_set_parameters,ORIG,35,18
C/C++,ssh_dh_set_parameters,DEV,35,18
C/C++,ssh_dh_set_parameters,FLAG,14,11
C/C++,ssh_dh_cleanup,ORIG,4,3
C/C++,ssh_dh_cleanup,DEV,4,3
C/C++,ssh_dh_cleanup,FLAG,1,2
C/C++,ssh_dh_keypair_gen_keys,ORIG,13,9
C/C++,ssh_dh_keypair_gen_keys,DEV,13,9
C/C++,ssh_dh_keypair_gen_keys,FLAG,5,6
C/C++,ssh_client_dh_init,ORIG,12,11
C/C++,ssh_client_dh_init,DEV,12,11
C/C++,ssh_client_dh_init,FLAG,4,5
Java,importUserToKeycloak,ORIG,4,4
Java,importUserToKeycloak,DEV,4,4
Java,importUserToKeycloak,FLAG,2,3
Java,toClientModel,ORIG,1,2
Java,toClientModel,DEV,1,2
Java,toClientModel,FLAG,0,1
Java,createOrganizationAwareIdentityProviderModel,ORIG,7,2
Java,createOrganizationAwareIdentityProviderModel,DEV,7,2
Java,createOrganizationAwareIdentityProviderModel,FLAG,6,1
Java,getAuthenticatedUser,ORIG,9,5
Java,getAuthenticatedUser,DEV,9,5
Java,getAuthenticatedUser,FLAG,4,3
Java,wrap,ORIG,8,5
Java,wrap,DEV,8,5
Java,wrap,FLAG,7,4
Java,wrap,ORIG,6,4
Java,wrap,DEV,6,4
Java,wrap,FLAG,5,3
Java,initUserSessionUpdater,ORIG,7,5
Java,initUserSessionUpdater,DEV,7,5
Java,initUserSessionUpdater,FLAG,6,4
Java,postInit,ORIG,9,2
Java,postInit,DEV,9,2
Java,postInit,FLAG,6,1
Java,toClientModel,ORIG,2,2
Java,toClientModel,DEV,2,2
Java,toClientModel,FLAG,0,1
Java,getGroupsCount,ORIG,3,3
Java,getGroupsCount,DEV,3,3
Java,getGroupsCount,FLAG,1,2
Java,extractTokenStringFromAuthHeader,ORIG,10,8
Java,extractTokenStringFromAuthHeader,DEV,10,8
Java,extractTokenStringFromAuthHeader,FLAG,5,6
Java,exportClient,ORIG,1,2
Java,exportClient,DEV,1,2
Java,exportClient,FLAG,0,1
Java,migrate,ORIG,1,2
Java,migrate,DEV,1,2
Java,migrate,FLAG,0,1
Java,migrateRealm,ORIG,3,3
Java,migrateRealm,DEV,3,3
Java,migrateRealm,FLAG,1,2
Java,isReadOnlyOrganizationMember,ORIG,6,4
Java,isReadOnlyOrganizationMember,DEV,6,4
Java,isReadOnlyOrganizationMember,FLAG,5,3
Java,createClients,ORIG,9,6
Java,createClients,DEV,9,6
Java,createClients,FLAG,6,5
Java,importOrganizations,ORIG,14,6
Java,importOrganizations,DEV,14,6
Java,importOrganizations,FLAG,9,5
Java,configureResteasy,ORIG,3,4
Java,configureResteasy,DEV,3,4
Java,configureResteasy,FLAG,2,3
Java,setCryptoProvider,ORIG,4,5
